# logrho energy radius_cm pressure temperature
-8.3925 9.967 20503244493226.965 968.2778562612496 3789.6578379947123
-8.3837 10.077 20470223786331.695 1021.4097519898492 3916.5168559121084
-8.3771 10.108 20437256259657.918 1074.4841166445556 4056.0191798991405
-8.3692 10.097 20394947444196.15 1148.1536214968828 4255.984131337431
-8.3605 10.088 20348040366732.12 1234.809607858603 4485.387826207934
-8.3524 10.091 20301241172552.535 1319.4714571951179 4704.35405725976
-8.3466 10.189 20263879326414.695 1383.2478377146665 4866.312560731986
-8.3401 10.447 20207965442118.65 1493.482025127055 5172.494052829933
-8.3426 10.705 20161488411325.73 1584.1634902063738 5515.691912608028
-8.3484 10.952 20138289996634.85 1622.930791114431 5724.004941344636
-8.3685 11.082 20105857053079.48 1685.0003677818315 6211.550208324422
-8.3873 11.089 20068854786503.676 1747.4308552673233 6695.76187175689
-8.4034 11.096 19985848478949.195 1888.426125223437 7397.7559507440665
-8.4047 11.096 19907768897272.26 2024.417113593397 7819.87840389497
-8.401 11.092 19829994352485.863 2156.254406807191 8117.083246672256
-8.3973 11.087 19779831632136.695 2238.72113856834 8269.895085679318
-8.3919 11.077 19720711990388.645 2342.6100385925483 8437.232172118302
-8.3827 11.063 19634624068066.703 2500.921153780118 8653.663429563476
-8.3725 11.048 19544411165014.266 2663.1768070405187 8838.936217394066
-8.3626 11.033 19468056165650.902 2815.1400151333 8990.834429518032
-8.3516 11.013 19378608572592.72 2984.0081159302204 9139.027833487551
-8.3355 10.991 19258505880334.523 3232.2132033960884 9328.24620253989
-8.3201 10.968 19147963480804.836 3473.761519726527 9488.55326727801
-8.3041 10.945 19033672416824.664 3732.5015779572063 9640.509790107477
-8.2866 10.921 18911352532207.742 4024.389433137699 9792.644754685723
-8.2691 10.898 18785492718675.61 4330.1206773800395 9935.735005868442
-8.2521 10.876 18669065977175.676 4639.807899821257 10066.998409579657
-8.2362 10.853 18561906919099.32 4944.245193336823 10183.568757197852
-8.215 10.826 18412916789183.95 5367.845410255124 10334.750585252106
-8.193 10.801 18265122552498.156 5838.482731071996 10485.762093807725
-8.1764 10.782 18151920906220.855 6211.550208324422 10594.976554434503
-8.1617 10.762 18051886344537.51 6558.43169806728 10690.548792226577
-8.1414 10.741 17911113688314.957 7061.549373585069 10821.812374803212
-8.1278 10.721 17820611011543.777 7416.517059021937 10906.866565159731
-8.1073 10.696 17677571012401.812 7978.109633536664 11035.702899640139
-8.0846 10.674 17523570111582.633 8645.696780339125 11176.350161087857
-8.071 10.654 17431011544464.346 9067.759645839049 11261.597469078652
-8.0472 10.629 17271203070049.89 9846.91071376939 11407.750129221204
-8.0302 10.612 17152308944403.46 10439.988012574855 11513.304741558182
-8.0185 10.595 17073501243346.246 10864.256236170644 11585.105685247285
-7.9982 10.574 16932558726225.896 11643.941101974156 11713.859212800262
-7.9811 10.551 16815995811844.86 12339.5692613962 11822.246217614635
